data (miesiąc-rok),opad,temperatura
02-1996,35.2,-5.6
03-1996,8.5,-0.9
04-1996,9.8,7.6
05-1996,92.2,13.5
06-1996,25.8,16.6
07-1996,106.9,15.9
08-1996,62.2,18.4
09-1996,62.5,10.9
10-1996,26.1,9.5
11-1996,15.1,5.4
12-1996,7.6,-4.5
01-1997,0.8,-3.2
02-1997,49.6,2.9
03-1997,24.4,4.1
04-1997,15.8,5.5
05-1997,49.8,12.6
06-1997,64.0,16.5
07-1997,115.5,17.8
08-1997,33.8,19.6
09-1997,22.7,13.5
10-1997,44.1,7.4
11-1997,24.4,3.0
12-1997,35.7,1.6
01-1998,40.0,1.9
02-1998,16.8,4.6
03-1998,46.3,3.3
04-1998,36.5,10.4
05-1998,36.1,14.6
06-1998,35.5,17.1
07-1998,73.9,17.4
08-1998,68.6,16.7
09-1998,96.7,14.0
10-1998,68.1,8.5
11-1998,47.5,0.1
12-1998,41.6,-0.2
01-1999,46.0,1.2
02-1999,52.8,-0.5
03-1999,55.0,4.4
04-1999,83.6,9.5
05-1999,41.8,13.0
06-1999,58.0,16.2
07-1999,61.6,19.6
08-1999,14.0,17.8
09-1999,18.4,17.1
10-1999,43.8,9.0
11-1999,35.3,2.9
12-1999,46.7,1.7
01-2000,27.6,-0.1
02-2000,34.4,3.2
03-2000,70.7,4.1
04-2000,21.8,12.1
05-2000,33.5,15.6
06-2000,30.1,17.3
07-2000,151.9,16.3
08-2000,69.7,18.2
09-2000,47.1,12.9
10-2000,15.7,11.8
11-2000,47.4,6.5
12-2000,48.1,2.2
01-2001,16.3,-0.1
02-2001,26.9,0.7
03-2001,49.5,2.6
04-2001,36.1,8.0
05-2001,29.0,14.4
06-2001,49.9,15.1
07-2001,76.6,19.9
08-2001,28.3,19.8
09-2001,97.6,12.3
10-2001,20.9,3.0
11-2001,21.2,-1.6
12-2001,54.0,-0.3
01-2002,29.9,0.7
02-2002,67.2,4.0
03-2002,49.5,5.0
04-2002,15.0,8.8
05-2002,40.3,16.8
06-2002,47.3,18.0
07-2002,61.6,20.3
08-2002,49.9,21.5
09-2002,66.2,14.2
10-2002,82.7,7.7
11-2002,46.2,4.3
12-2002,7.3,-3.6
01-2003,41.7,-1.7
02-2003,5.5,-3.5
03-2003,14.4,3.0
04-2003,12.7,8.2
05-2003,35.2,15.7
06-2003,26.0,19.0
07-2003,68.2,19.5
08-2003,16.8,19.4
09-2003,11.2,14.7
10-2003,40.1,5.8
