Data,Poziom,Zmiana,Opad,Temperatura
01.11.1992,"96,92","0,0","43,7","4,0"
01.12.1992,"96,93","0,01","26,1","-0,6"
01.01.1993,"96,95","0,02","47,7","0,4"
01.02.1993,"97,0","0,05","31,5","-0,8"
01.03.1993,"97,02","0,02","33,2","1,8"
01.04.1993,"97,06","0,04","12,7","9,2"
01.05.1993,"96,98","-0,08","25,7","16,4"
01.06.1993,"96,91","-0,07","53,1","15,6"
01.07.1993,"96,88","-0,03","102,3","16,3"
01.08.1993,"96,86","-0,02","42,4","16,3"
01.09.1993,"96,83","-0,03","79,8","12,1"
01.10.1993,"96,85","0,02","16,7","8,0"
01.11.1993,"96,85","0,0","40,7","-0,7"
01.12.1993,"96,99","0,14","91,0","2,2"
01.01.1994,"97,2","0,21","39,5","2,4"
01.02.1994,"97,42","0,22","25,8","-2,2"
01.03.1994,"97,45","0,03","58,7","4,4"
01.04.1994,"98,07","0,62","35,0","9,0"
01.05.1994,"98,1","0,03","64,7","12,6"
01.06.1994,"98,17","0,07","31,8","15,8"
01.07.1994,"98,05","-0,12","50,4","22,1"
01.08.1994,"97,9","-0,15","40,4","18,8"
01.09.1994,"97,9","0,0","91,8","14,3"
01.10.1994,"97,8","-0,1","15,2","6,6"
01.11.1994,"97,79","-0,01","23,4","4,3"
01.12.1994,"97,81","0,02","43,4","1,8"
01.01.1995,"97,86","0,05","31,4","-0,6"
01.02.1995,"97,9","0,04","36,5","3,5"
01.03.1995,"98,05","0,15","39,8","2,8"
01.04.1995,"98,16","0,11","24,8","8,2"
01.05.1995,"98,12","-0,04","34,0","12,8"
01.06.1995,"98,09","-0,03","70,3","16,3"
01.07.1995,"97,95","-0,14","56,9","20,6"
01.08.1995,"97,88","-0,07","63,8","19,0"
01.09.1995,"97,96","0,08","119,8","13,4"
01.10.1995,"97,9","-0,06","13,6","10,5"
01.11.1995,"97,9","0,0","17,0","1,1"
01.12.1995,"97,9","0,0","18,8","-4,9"
01.01.1996,"97,94","0,04","8,8","-5,7"
01.02.1996,"97,95","0,01","35,2","-5,6"
01.03.1996,"97,95","0,0","8,5","-0,9"
01.04.1996,"98,05","0,1","9,8","7,6"
01.05.1996,"98,11","0,06","92,2","13,5"
01.06.1996,"98,1","-0,01","25,8","16,6"
01.07.1996,"98,06","-0,04","106,9","15,9"
01.08.1996,"98,03","-0,03","62,2","18,4"
01.09.1996,"97,95","-0,08","62,5","10,9"
01.10.1996,"97,92","-0,03","26,1","9,5"
01.11.1996,"97,92","0,0","15,1","5,4"
01.12.1996,"97,92","0,0","7,6","-4,5"
01.01.1997,"97,92","0,0","0,8","-3,2"
01.02.1997,"97,9","-0,02","49,6","2,9"
01.03.1997,"97,9","0,0","24,4","4,1"
01.04.1997,"97,93","0,03","15,8","5,5"
01.05.1997,"97,92","-0,01","49,8","12,6"
01.06.1997,"97,92","0,0","64,0","16,5"
01.07.1997,"97,94","0,02","115,5","17,8"
01.08.1997,"97,77","-0,17","33,8","19,6"
01.09.1997,"97,62","-0,15","22,7","13,5"
01.10.1997,"97,58","-0,04","44,1","7,4"
01.11.1997,"97,58","0,0","24,4","3,0"
01.12.1997,"97,57","-0,01","35,7","1,6"
01.01.1998,"97,59","0,02","40,0","1,9"
01.02.1998,"97,65","0,06","16,8","4,6"
01.03.1998,"97,68","0,03","46,3","3,3"
01.04.1998,"97,88","0,2","36,5","10,4"
01.05.1998,"97,8","-0,08","36,1","14,6"
01.06.1998,"97,68","-0,12","35,5","17,1"
01.07.1998,"97,61","-0,07","73,9","17,4"
01.08.1998,"97,5","-0,11","68,6","16,7"
01.09.1998,"97,45","-0,05","96,7","14,0"
01.10.1998,"97,45","0,0","68,1","8,5"
01.11.1998,"97,47","0,02","47,5","0,1"
01.12.1998,"97,53","0,06","41,6","-0,2"
01.01.1999,"97,76","0,23","46,0","1,2"
01.02.1999,"97,97","0,21","52,8","-0,5"
01.03.1999,"98,35","0,38","55,0","4,4"
01.04.1999,"98,65","0,3","83,6","9,5"
01.05.1999,"99,07","0,42","41,8","13,0"
01.06.1999,"98,97","-0,1","58,0","16,2"
01.07.1999,"98,81","-0,16","61,6","19,6"
01.08.1999,"98,64","-0,17","14,0","17,8"
01.09.1999,"98,43","-0,21","18,4","17,1"
01.10.1999,"98,31","-0,12","43,8","9,0"
01.11.1999,"98,26","-0,05","35,3","2,9"
01.12.1999,"98,21","-0,05","46,7","1,7"
01.01.2000,"98,21","0,0","27,6","-0,1"
01.02.2000,"98,22","0,01","34,4","3,2"
01.03.2000,"98,26","0,04","70,7","4,1"
01.04.2000,"98,34","0,08","21,8","12,1"
01.05.2000,"98,12","-0,22","33,5","15,6"
